,property_name,link,society,price,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,agePossession,nearbyLocations,description,furnishDetails,features,rating,property_id,,,,,,
,2 BHK Flat in Mira Road East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kothari-seven-eleven-residency-mira-road-east-miraroad-and-beyond-950-sq-ft-spid-J70220092,Kothari Seven Eleven Residency,88 Lac,"₹ 9,263/sq.ft.",Super Built up area 950(88.26 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,Store Room,"Mira Road East, Mira Road And Beyond, Mumbai",7th   of 7 Floors,South,1 to 5 Year Old,"['Landmark Heights Apartment Parking', 'Shiv Temple', 'Shiv temple', 'Al Shamsh jummah mosque', 'Axis bank ATM', 'Canara bank ATM', 'Asmita regency 1 ATM', 'A Care Orthopaedic and General Hospital', 'Karuna Nursing Home Thane', 'Life Care Hospital Mira Road', 'Dr Preeti Murthy', 'Vipassana Hospital', 'Dr Dragos Life Line General andMaternity Hospital', 'Sai Aashirwad Hospital', 'Sushrut Maternity and Surgical Nursing Home', 'Roshni Maternity and Nursing Home', 'Yashoda Maternity and Nursing Home', 'Dr Suris Maternity and Surgical Nursing Home', 'The UMRAO institute Of Medical Science & Research', ""Dr Parkar's Clinic"", 'Thunga Hospital', 'Bhaktivedanta Clinic', 'Gayatri Maternity and Ear Nose Throat Hospital', 'Samartha Hospital', 'Aryan Child Healthcare Centre and Nursing Home', 'Deepak Hospital', 'Tanwar Hospital Thane', 'Parmar Nursing Home', 'Om Hospital Poonam Nagar', 'Badri-Vishal Polyclinic and Hospital', 'Gayatri Maternity and Ent Hospital', 'Al-Falah Health Care', 'Indra Maternity and Surgical Nursing Home', 'Shiv Om Hospital', 'Family Care Hospitals', 'Dr. Farids Hospital', 'Galaxy Hospital', 'St Joseph church', 'Indian Oil', 'Bharat Petroleum & CNG Pump', 'Bank of india mira road branch', 'Hdfc bank', 'Punjab national bank', ""McDonald's"", 'Balaji Veg Restaurant', 'Holycross convent school ground', 'Holy cross convent school', 'St X', 'St X1', 'Queen Marys High School']","This 2 bhk flat is located in kothari seven eleven residency, which houses some of the most spacious flats in mira road east, mira road and beyond. The flat is east-Facing. The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 950 sq.Ft. The property is located on the top floor of a 11 floors tall building. This 1-5 years old property is available for immediate possession as the project is ready to move. The beautifully designed vitrified flooring enhances the beauty of the flat. Kothari seven eleven residency is designed very well to provide modern facilities such as park, lift(s) and security personnel. The residential project is well equipped to meet all your water needs through access to municipal corporation supply.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Lift(s)', 'Water Storage', 'No open drainage around', 'Park', 'Piped-gas', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Waste Disposal', 'Rain Water Harvesting']","['Lifestyle4.3 out of 5', 'Connectivity4.5 out of 5', 'Safety4.3 out of 5', 'Environment4.1 out of 5']",J70220092,,,,,,
,3 BHK Flat in Mira Road,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-neminath-heights-mira-road-mira-road-and-beyond-1412-sq-ft-spid-W70200764,Neminath Heights,1.2 Crore,"₹ 8,498/sq.ft.",Super Built up area 1412(131.18 sq.m.)Built Up area: 1000 sq.ft. (92.9 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),3 Bedrooms,3 Bathrooms,3+ Balconies,Others,"602, Mira Road, Mira Road And Beyond, Mumbai",5th   of 18 Floors,North-West,1 to 5 Year Old,"['Ghodbunder Market', 'Landmark Heights Apartment Parking', 'Shree Hatkesh Mahadev Temple', 'Shree Datta Mandir', 'Khoja Jamat Khana', 'Chinchaba Devi Mandir', 'Shiv Temple', 'Shiv temple', 'Shri Saibaba Mandir', 'Axis bank ATM', 'Canara bank ATM', 'Galaxy Hospital', 'Karuna Nursing Home Thane', 'Yashoda Maternity and Nursing Home', 'A Care Orthopaedic and General Hospital', 'Samartha Hospital', 'Ansh Hospital', 'Shalom Medicare Pvt. Ltd.', 'Roshni Maternity and Nursing Home', 'Life Care Hospital Mira Road', 'Dr Suris Maternity and Surgical Nursing Home', 'Vipassana Hospital', 'Aryan Child Healthcare Centre and Nursing Home', 'Family Care Hospitals', 'Dr Preeti Murthy', 'Dr Dragos Life Line General andMaternity Hospital', 'Gayatri Maternity and Ear Nose Throat Hospital', 'Thunga Hospital', 'Sai Aashirwad Hospital', 'Tanwar Hospital Thane', 'Sushrut Maternity and Surgical Nursing Home', 'Deepak Hospital', 'St Joseph church', 'joggers', 'Indian Oil', 'Bharat Petroleum & CNG Pump', 'Punjab national bank', 'Bank of india', 'Bank of india mira road branch', 'Hdfc bank', ""McDonald's"", 'Balaji Veg Restaurant', 'Mira-Bhayander', 'mira veg restaurants', ""Dara's Dhaba"", 'RBK School', 'Holycross convent school ground', 'St X', 'Holy cross convent school', 'St X1']","Looking for a 3 bhk property for sale in mira road and beyond? Buy this 3 bhk flat in neminath heights that is situated in mira road, mira road and beyond. This residential flat is east-Facing direction. Constructed on a super built up area of 1412 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and more than 3 balconies. This flat lies on the 6th level of a 18 storey building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The well built vitrified flooring enhances the aesthetic appeal of this flat. Many of the modern amenities being offered, like swimming pool, water softening plant, security personnel, maintenance staff, club house / community center, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you. Municipal corporation provides a regular supply of water to this residential project.
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.","['3 Fan', '6 Light', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'No open drainage around', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Lifestyle4.2 out of 5', 'Connectivity4.4 out of 5', 'Safety4.2 out of 5', 'Environment4.1 out of 5']",W70200764,,,,,,
,2 BHK Flat in Kamothe,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pratik-gems-kamothe-navi-mumbai-1125-sq-ft-spid-S70106080,Pratik Gems,1.02 Crore,"₹ 9,066/sq.ft.",Super Built up area 1125(104.52 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,,"Kamothe, Navi Mumbai, Mumbai",2nd   of 14 Floors,South,5 to 10 Year Old,"['Khandeshwar metro station', 'shankar mandir', 'buddha vihar', 'ganpanti mandir', 'Hanuman Mandir', 'Khandeshwar Shiva Temple', ""Children's Wellness Clinic"", 'Sai Hospital for Child & Skin Hospital', 'Chirayu kamothe', 'Care and Cure Hospital', 'Jeevan Jyot Hospital', 'Criticare Lifeline Hospital', 'Shree Sangam Multispeciality Hospital', 'Purohit Hospital', 'Shree Sai Multispecialist Hospital', 'Mahatma Gandhi Mission', 'Health gs Hospitals', 'Sai Samarth Hospital Accident & Trauma Care Centre', 'Om Sai Hospital', 'Vihaan Hospital', 'B &J Superspeciality Hospital and Research Centre', 'Kamothe Criticare Hospital', 'Sunrise Multispeciality Hospital', 'Suyash Surgical and Maternity Home', ""Dr. Alat's Sushrut Multispeciality Hospital"", ""Dr Singh's City Hospital and Medical Research Centre"", 'CNG PUMP', 'Axis bank', 'Hindustan bank', 'Bank of inda', 'Idbi bank', 'Apna bank', 'Axis bank', 'aishwarya hotel', 'krishna hotel', 'vimum food', 'Balagi Sweets', 'malvan tadka', 'neelkanth', 'manmohan sweets shop', 'dominos pizza', 'rivar side', 'Mirchi Hotel', 'tawa hotel', 'Watermelon stalls', 'vidi bar', 'Sushma Patil Vidhyalaya', 'New Sudhaghad High School', 'Khandeshwar railway station', 'Khandeshwar railway station']","Pratik gems is one of navi mumbai's most sought after destination for apartments and this 2 bhk flat in kamothe is your opportunity to be a part of this community. The flat occupies a super built up area of 1125 sq.Ft. That consists of 2 bedrooms, 2 bathrooms and 3 balconies. This flat is situated on the 2nd floor of this 14 floors tall residential building. This 5-10 years old property is available for immediate possession as the project is ready to move.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.","['1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Security / Fire Alarm', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking']","['Lifestyle4.3 out of 5', 'Connectivity4.3 out of 5', 'Safety4.2 out of 5', 'Environment4.2 out of 5']",S70106080,,,,,,
,2 BHK Flat in Chandivali,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-nahar-yvonne-chandivali-central-mumbai-suburbs-1465-sq-ft-spid-R70031300,Nahar Yvonne,3.1 Crore,"₹ 21,160/sq.ft.",Super Built up area 1465(136.1 sq.m.)Carpet area: 792 sq.ft. (73.58 sq.m.),2 Bedrooms,2 Bathrooms,3+ Balconies,Store Room,"007, Chandivali, Central Mumbai suburbs, Mumbai",11st   of 15 Floors,South,5 to 10 Year Old,"['Jagruti nagar metro station', 'Asalpha metro station', 'Shia Masjid', 'sai baba mandir', 'Ayyappa Temple', 'Sai Baba temple', 'Mary Matha Church', 'Maheshwar Mandir', 'jalaram mandir', 'Temple', 'Shri Gundicha Mandir', 'Bharat co-op bank ATM', 'Apna sahakari bank ltd ATM', 'Sapna Maternity and General Hospital', 'Zobiya Hospital Maternity Home', 'Asmira Hospital', 'Sant Muktabai Hospital', 'Dr. Chhajed Surgerical & Maternity Hospital', 'Apex Multi Speciality Hospital', 'Priyanka Maternity and Surgical Nursing Home', 'Mohili Village Municipal Hospital', 'Abhishek Nursing Home', 'muktabai hospital', 'Vivek Maternity and Nursing Home', 'Disha Hospital', 'Ashirwad Children and Surgical Hospital', 'Balaji Speciality Hospital', 'Axon Hospital & Dialysis Center', 'Paramount General Hospital and ICCU', 'Paramount General Hospital and Icu', 'Ashwin Medical and General Stores', 'Ashwin MEDICAL and General stores', 'Mirchandani Business Park', 'Powai Supreme Business Park', 'Bank of baroda', 'Apna janta sahakari bank', 'RUDE LOUNGE', 'Dudhsagar', 'Janta Bakery', 'Jai Bhavani Restaurant', 'MEHMAN NAWAZI', 'BREEZE RESTAURANT', 'Anil Lunch Home', 'Deep Punjab Dhaba', 'Elementaria Bakery and Cafe', 'Elementaria Bakery Cafe', 'Mohili Village Municipality School', 'THERESA HIGH SCHOOL']","Nahar yvonne is one of central mumbai suburbs's most sought after destination for apartments and this 2 bhk flat in chandivali is your opportunity to be a part of this community. The flat is facing the north direction. Constructed on a super built up area of 1465 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and more than 3 balconies. The property is located on the 11th floor of a 15 floors tall building. This 5-10 years old property is available for immediate possession as the project is ready to move. The vitrified flooring of this flat is beautifully designed and helps to give it a pleasing look. Many of the modern amenities being offered, like swimming pool, security personnel, maintenance staff, shopping centre, cctv surveillance, club house / community center, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you. The project provides access to clean water through municipal corporation supply.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Full power backup is available.
The society has dedicated security guards for every tower.","['1 Water Purifier', '1 Fridge', '5 Fan', '1 Exhaust Fan', '1 Dining Table', '2 Geyser', '1 Stove', '12 Light', '1 Chimney', '1 Curtains', '3 AC', '1 Modular Kitchen', '2 Bed', '4 Wardrobe', '1 Sofa', '1 Microwave', '1 Washing Machine', 'No TV']","['Power Back-up', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'No open drainage around', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']","['Lifestyle3.9 out of 5', 'Connectivity4.2 out of 5', 'Safety3.8 out of 5', 'Environment3.7 out of 5']",R70031300,,,,,,
,1 BHK Flat in Kalher,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-tirumala-estate-kalher-mumbai-thane-388-sq-ft-r2-spid-T66604594,Tirumala Estate,22.2 Lac,"₹ 5,722/sq.ft.",Carpet area: 388 (36.05 sq.m.),1 Bedroom,1 Bathroom,1 Balcony,,"Kalher, Thane, Mumbai",3rd   of 3 Floors,North-West,1 to 5 Year Old,"['LEO Internaonal School', 'Lile Angel School', 'L.B. Joshi Foundation School', 'Divine English High School', 'Holy Mary School', 'Sai Baba Temple', 'Ayyappa Temple', 'Ganpati Temple', 'S.S. Hospital & Research Center', 'Asha Mul-Speciality Hospital', 'ICICI Bank', 'Union Bank of India', 'Central Bank', 'Kotak Mahindra', 'GP Parsik Bank']","This 1 bhk apartment is available for sale in tirumala estate, one of the most prominent projects for flats in kalher, thane. The flat occupies a carpet area of 388 sq.Ft. That consists of 1 bedroom, 1 bathroom and 1 balcony. The property is located on the top floor of a 3 floors tall building. This is a ready to move project and the property is 0-1 year old.
 
 
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Connectivity4 out of 5', 'Safety3.7 out of 5', 'Environment3.6 out of 5']",T66604594,,,,,,
,1 BHK Flat in Kalher,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-tirumala-estate-kalher-mumbai-thane-388-sq-ft-r2-spid-F66604498,Tirumala Estate,22.2 Lac,"₹ 5,720/sq.ft.",Carpet area: 388 (36.05 sq.m.),1 Bedroom,1 Bathroom,1 Balcony,,"Kalher, Thane, Mumbai",1st   of 3 Floors,North-West,1 to 5 Year Old,"['LEO Internaonal School', 'Lile Angel School', 'L.B. Joshi Foundation School', 'Divine English High School', 'Holy Mary School', 'Sai Baba Temple', 'Ayyappa Temple', 'Ganpati Temple', 'S.S. Hospital & Research Center', 'Asha Mul-Speciality Hospital', 'ICICI Bank', 'Union Bank of India', 'Central Bank', 'Kotak Mahindra', 'GP Parsik Bank']","This beautiful 1 bhk flat in kalher, thane is situated in tirumala estate, one of the popular residential society in thane. Containing 1 bedroom(s), 1 bathroom and 1 balcony, this flat is spread over a carpet area of 388 sq.Ft. The property is located on the 2nd floor of a 3 floors tall building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move.
 
 
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Centrally Air Conditioned', 'Maintenance Staff', 'Water Storage', 'Park', 'Security Personnel', 'Natural Light', 'Internet/wi-fi connectivity', 'Airy Rooms', 'Fitness Centre / GYM', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Connectivity4 out of 5', 'Safety3.7 out of 5', 'Environment3.6 out of 5']",F66604498,,,,,,
,1 BHK Flat in Kalher,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-tirumala-estate-kalher-mumbai-thane-388-sq-ft-r2-spid-U66604412,Tirumala Estate,22.19 Lac,"₹ 5,719/sq.ft.",Carpet area: 388 (36.05 sq.m.),1 Bedroom,1 Bathroom,1 Balcony,,"Kalher, Thane, Mumbai",Ground of 3 Floors,East,1 to 5 Year Old,"['LEO Internaonal School', 'Lile Angel School', 'L.B. Joshi Foundation School', 'Divine English High School', 'Holy Mary School', 'Sai Baba Temple', 'Ayyappa Temple', 'Ganpati Temple', 'S.S. Hospital & Research Center', 'Asha Mul-Speciality Hospital', 'ICICI Bank', 'Union Bank of India', 'Central Bank', 'Kotak Mahindra', 'GP Parsik Bank']","Check out this 1 bhk apartment for sale in tirumala estate, a popular residential project that houses in-Demand flats in kalher, thane. The floor plan additionally contains 1 bedroom(s), 1 bathroom and 1 balcony. All in all, the flat is spread over a carpet area of 388 sq.Ft. This flat is situated on the 1st floor of this 3 floors tall residential building. This is a ready to move project and the property is 0-1 year old.
 
 
 Additional details :The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
No power backup is available.
The society has dedicated security guards for every tower.",,"['Feng Shui / Vaastu Compliant', 'Lift(s)', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal']","['Lifestyle3.7 out of 5', 'Connectivity4 out of 5', 'Safety3.7 out of 5', 'Environment3.6 out of 5']",U66604412,,,,,,
,2 BHK Flat in Kalyan East,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-lok-dhara-kalyan-east-mumbai-beyond-thane-830-sq-ft-spid-R69359746,Lok Dhara,80 Lac,"₹ 9,638/sq.ft.",Super Built up area 830(77.11 sq.m.)Carpet area: 635 sq.ft. (58.99 sq.m.),2 Bedrooms,2 Bathrooms,No Balcony,,"Kalyan East, Mumbai Beyond Thane, Mumbai",7th   of 7 Floors,East,10+ Year Old,"['Inaam masjid', 'Madina Tabligi Masjid', 'Kali Masjid', 'Shree Ram Mandir', 'Star city Multispeciality Hospital', 'D M C T Hospital', 'akka', 'Ankur Nursing Home', 'Kalyan Metro Multi Speciality Hospital Pvt. Ltd', 'Shubhamkar Hospital', 'Shree Tisai Hospital', 'Jeevanjyoti Hospital', 'Chaitanya Nursing Home', 'Amey Multispeciality Clinic', 'Gurudeo Maternity and Orthopaedic Home', 'KDMC Kolsewadi Municipal Hospital', 'Meera Hospital-Kalyan', 'Shree Devi Hospital - Kalyan', 'Dr Thakurs Ent Hospital', 'Chinchansure', 'Saikrupa Hospital', 'AM PM 24 Hrs Hospital', 'Fortis Hospitals Ltd Kalyan', 'Nityan and Nursing Home', 'Sai Sanket Hospital', 'Shelar Hospital', ""Dr. Sundeep D. Jadhav's Nursing Home"", 'Om Hospital', 'KDMC Central Railway Hospital', 'Dr Naiks Maternity and Nursing Home', ""Social Service League Kalyan's Charitable Eye and General Hospital"", 'Mhaskars Hospital Thane', 'Sai Shraddha Nursing Home', 'Leela Eye Institute', 'Katkar Hospital', 'National Hospital', 'Jagannath hospital', 'Holy Cross Hospital Thane', 'Dr Shahs Laser Eye Institute', 'Apex Hospital', 'Phadke Hospital', 'Sai Prasad Nursing Home and Scu', 'Balaji Ent and Eye Hospital', 'Wellspring Clinic', 'SM5 Multiplex', 'Acharya Atre Rangmandir', 'Dombivli nagari sahakari bank ltd.', 'Regal College', 'Kalyan junction railway station', 'Vithalwadi railway station']","This 2 bhk apartment is available for sale in lok dhara, one of the most prominent projects for flats in kalyan east, mumbai beyond thane. This is a east-Facing property. Constructed on a super built up area of 830 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms . The flat has a total of 7 floors and this property is situated on top floor. Being a ready to move project, you can expect immediate possession of this 10+ years old property. The well built vitrified flooring enhances the aesthetic appeal of this flat. Many of the modern amenities being offered, like swimming pool, water softening plant, security personnel, maintenance staff, shopping centre, club house / community center, fitness centre / gym, park and lift(s), will provide a pleasant living experience for you. The project provides access to clean water through borewell/tank and municipal corporation supply.",,"['Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Bank Attached Property', 'Piped-gas', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Shopping Centre', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']","['Lifestyle3.9 out of 5', 'Connectivity4.2 out of 5', 'Safety4 out of 5', 'Environment3.7 out of 5']",R69359746,,,,,,
,2 BHK Flat in Medetiya Nagar,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-raj-horizon-medetiya-nagar-mira-road-and-beyond-700-sq-ft-spid-Q69851016,Raj Horizon,1.21 Crore,"₹ 17,285/sq.ft.",Carpet area: 700 (65.03 sq.m.),2 Bedrooms,2 Bathrooms,3 Balconies,Others,"Medetiya Nagar, Mira Road And Beyond, Mumbai",10th   of 14 Floors,North-East,1 to 5 Year Old,"['Landmark Heights Apartment Parking', 'Sunni Mosque', 'Al Shamsh jummah mosque', 'Asmita regency 1 ATM', 'Family Care Hospitals', 'Tanwar Hospital Thane', 'Thunga Hospital', 'Karuna Nursing Home Thane', 'Deepak Hospital', 'Chirayu Superspeciality Hospital', 'Shiv Om Hospital', 'Apple Hospital and Medical Centre', 'Shalom Medicare Pvt. Ltd.', 'Jugura Hospital - Thane', 'Balaji Hospital', 'Ansh Hospital', 'Galaxy Hospital', 'Al-Falah Health Care', 'Dr Preeti Murthy', 'Sai Aashirwad Hospital', 'Life Care Hospital Mira Road', 'A Care Orthopaedic and General Hospital', 'Shah Lifeline Hospital and Heart Institute Pvt. Ltd. - Thane', 'Dr Dragos Life Line General andMaternity Hospital', 'Sushrut Maternity and Surgical Nursing Home', 'The UMRAO institute Of Medical Science & Research', 'Vipassana Hospital', ""Dr Parkar's Clinic"", 'Bhayandar Criticare Hospital', 'Bhaktivedanta Clinic', 'Roshni Maternity and Nursing Home', 'Yashoda Maternity and Nursing Home', 'Dr. Farids Hospital', 'joggers', 'St Joseph church', 'Bharat Petroleum & CNG Pump', 'Indian Oil', 'Bank of india', 'Mira-Bhayander', 'mira veg restaurants', ""McDonald's"", 'Mahalaxmi Sweets', 'food swing', 'Cafe Nostalgia', 'Queen Marys High School', 'RBK School', 'Holycross convent school ground', 'Holy cross convent school', 'St X', 'St X1']","Check out this 2 bhk apartment for sale in raj horizon, a popular residential project that houses in-Demand flats in medetiya nagar, mira road and beyond. Constructed on a carpet area of 700 sq.Ft., the flat comprises 2 bedroom(s), 2 bathrooms and 3 balconies. The residential building has 14 floors in total and the flat for sale is located on the 10th floor. Being a ready to move project, you can expect immediate possession of this 1-5 years old property.",,"['Centrally Air Conditioned', 'Water purifier', 'Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Intercom Facility', 'Lift(s)', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'No open drainage around', 'Bank Attached Property', 'Piped-gas', 'Internet/wi-fi connectivity', 'Recently Renovated', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society', 'Waste Disposal', 'Rain Water Harvesting', 'Water softening plant', 'Shopping Centre', 'Fitness Centre / GYM', 'Club house / Community Center']",,Q69851016,,,,,,
,1 BHK Flat in Sector 25 Khandeshhwar,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-geomatrix-silver-crest-sector-25-khandeshhwar-mumbai-navi-685-sq-ft-spid-D68860556,Geomatrix Silver Crest,67 Lac,"₹ 9,781/sq.ft.",Super Built up area 685(63.64 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1 Bedroom,1 Bathroom,3+ Balconies,,"001, Sector 25 Khandeshhwar, Navi Mumbai, Mumbai",5th   of 6 Floors,North-West,1 to 5 Year Old,"['SBI ATM', 'ICICI bank ATM', 'Axis bank ATM', 'HDFC bank ATM', 'Kotak Mahindra Bank ATM', 'Jeevan Jyot Hospital', 'Ashtvinayak Hospital', 'care and Cure Hospital', 'Sunrise Multispecialty Hospital', 'Shelar Hospital', 'Pavillion Restaurant', 'The Gateway of Taste', 'Famous In Town', 'The Village', 'Kiba Fine Dine']","Located in the popular residential address of sector 25 khandeshhwar, navi mumbai, geomatrix silver crest is one of the most preferred destination for apartments in navi mumbai. This 1 bhk flat is your ticket to be a part of this community. The flat is east-Facing. The flat is over 685 sq.Ft. Super built up area and comes with 1 bedroom(s), 1 bathroom and more than 3 balconies. This flat is situated on the 5th floor of this 6 floors tall residential building. As the project is already ready to move, so you can easily move into this 1-5 years old property. The flat comes well built with vitrified flooring options. Geomatrix silver crest is designed very well to provide modern facilities such as water softening plant, security personnel, maintenance staff, club house / community center, fitness centre / gym, park, lift(s) and visitor parking. You enjoy a 24*7 access to water in your flat.
 Additional details :Piped gas facility is available in the property.
The apartment has borings water supply.
Daily needs shopping could be done within the society premises to make the stay convinent.
Full power backup is available.
The society has dedicated security guards for every tower.",,"['Security / Fire Alarm', 'Power Back-up', 'Feng Shui / Vaastu Compliant', 'Intercom Facility', 'Lift(s)', 'Maintenance Staff', 'Water Storage', 'Piped-gas', 'Visitor Parking', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Rain Water Harvesting', 'Club house / Community Center', 'Water softening plant']",,D68860556,,,,,,
